Track name,Artist name,Album,Playlist name,Type,ISRC
Night,Bill Callahan,Woke On A Whaleheart,Favorite Songs,Favorite,US58L0733208
Catch & Release - Deepend Remix,Matt Simons,When The Lights Go Down,Favorite Songs,Favorite,NLE3T1400013
Catch & Release,Matt Simons,Catch & Release,Favorite Songs,Favorite,NLE3T1400002
Let Her Go,Passenger,All The Little Lights,Favorite Songs,Favorite,GBMQN1100004
Just Breathe,Pearl Jam,Backspacer,Favorite Songs,Favorite,USA320900005
Hurt,Johnny Cash,American IV: The Man Comes Around,Favorite Songs,Favorite,USDJ20200650
Fade Into You,Mazzy Star,So Tonight That I Might See,Favorite Songs,Favorite,USCA29300105
Into Dust,Mazzy Star,So Tonight That I Might See,Favorite Songs,Favorite,USCA29300475
Good Book,Ezra Furman,Sex Education Original Soundtrack,Favorite Songs,Favorite,GBBRP1651002
Could It Be Another Change,The Samples,The Samples,Favorite Songs,Favorite,USA6B9300304
Asleep - 2011 Remaster,The Smiths,Louder Than Bombs,Favorite Songs,Favorite,GBCRL1100079
Come and Find Me,Josh Ritter,Golden Age Of Radio,Favorite Songs,Favorite,USTC40881787
All The Faces,Creed Bratton,Coarsegold,Favorite Songs,Favorite,usx9p0679365
I'm So Lonesome I Could Cry - Single Version,Hank Williams,The Complete Hank Williams,Favorite Songs,Favorite,USPR34900126
Rivers And Roads,The Head And The Heart,The Head And The Heart,Favorite Songs,Favorite,GBUM71101813
Good Days,Joe Purdy,Take My Blanket and Go,Favorite Songs,Favorite,usx9p0730945
Yesterday Was Hard On All Of Us,Fink,Perfect Darkness,Favorite Songs,Favorite,GBCFB1102102
Looking Too Closely,Fink,Hard Believer,Favorite Songs,Favorite,GBCFB1400808
Wait for Me,Motopony,Motopony,Favorite Songs,Favorite,USW3R1000029
Creatures - Acoustic,Shannon Saunders,Creatures (Acoustic),Favorite Songs,Favorite,US23A1500545
If Only,Fink,Distance and Time,Favorite Songs,Favorite,GBCFB0700802
All of Me,John Legend,Love In The Future (Expanded Edition),Favorite Songs,Favorite,USSM11303954
About Today,The National,Cherry Tree,Favorite Songs,Favorite,USI4R0508291
Promise,Ben Howard,Every Kingdom,Favorite Songs,Favorite,GBUM71106371
